case_id,issue_type,topology_note,symptom_and_context,show_output,expected_fault,osi_layer,concept_tag,severity,expected_next_command,expected_fix
NET-001,Wrong Default Gateway,PC1 → SW1 → R1,PC1 192.168.10.20/24 uses gateway 192.168.20.1; R1 G0/0 is 192.168.10.1/24.,PC1 ipconfig /all: IPv4 Address: 192.168.10.20; Subnet Mask: 255.255.255.0; Default Gateway: 192.168.20.1. R1 show ip interface brief: G0/0 192.168.10.1 up/up.,PC1 has an incorrect default gateway,Layer 3,gateway,High,ipconfig /all; show ip interface brief,Set PC1 gateway to 192.168.10.1 and retest.
NET-002,Missing VLAN,PC1 → SW1,"PC1 is assigned to VLAN 20, but VLAN 20 is absent from the switch VLAN database.",show vlan brief: VLAN 10 active; VLAN 30 active; VLAN 20 absent. show interfaces Fa0/1 switchport: Administrative Mode: static access; Operational Mode: static access; Access Mode VLAN: 20.,Required VLAN 20 is missing,Layer 2,VLAN,High,show vlan brief,Create VLAN 20 and verify port membership.
NET-003,Missing Route,PC1 → R1 → R2 → Server1,Server network 10.20.20.0/24 is behind R2; R1 has no route to it.,show ip route on R1: 10.20.20.0/24 absent,R1 has no route to the server network,Layer 3,routing,Critical,show ip route,Add the appropriate route and verify connectivity.
NET-004,Duplicate IP,PC1 and PC2 → SW1,PC1 and PC2 both use 192.168.10.20/24; connectivity is intermittent.,show arp: 192.168.10.20 maps to changing MAC addresses,Duplicate IP address exists,Layer 3,IP addressing,High,show arp; ipconfig /all,Assign unique IP addresses.
NET-005,Interface Down,PC1 → SW1 → R1,PC1 cannot reach its gateway because R1 G0/0 is administratively down.,show ip interface brief: G0/0 administratively down/down,Router interface is administratively shut down,Layer 1,interface status,High,show ip interface brief,Enable G0/0 and verify connectivity.
NET-006,Incorrect Subnet Mask,PC1 → R1,PC1 is 192.168.10.20/25 while gateway is 192.168.10.129/25; they are in different subnets.,PC1: 192.168.10.20/25; R1: 192.168.10.129/25,PC1 has an incompatible subnet mask,Layer 3,subnetting,High,ipconfig /all; show ip interface brief,Correct the subnet mask.
NET-007,Access Port Wrong VLAN,PC1 → SW1,PC1 should be in VLAN 10 but Fa0/2 is assigned to VLAN 20.,show vlan brief: Fa0/2 in VLAN 20,PC access port is assigned to the wrong VLAN,Layer 2,VLAN,High,show vlan brief,Assign Fa0/2 to VLAN 10.
NET-008,Trunk Not Configured,SW1 ↔ SW2,"VLAN 30 exists on both switches, but the inter-switch link is an access port.",show interfaces Fa0/24 switchport: Administrative Mode: static access; Operational Mode: static access; Access Mode VLAN: 1. show interfaces trunk: Fa0/24 absent.,Inter-switch link is not configured as a trunk,Layer 2,VLAN trunking,High,show interfaces trunk; show interfaces switchport,Configure the link as a trunk.
NET-009,VLAN Not Allowed on Trunk,SW1 ↔ SW2,"VLAN 40 exists on both switches and the link is trunking, but VLAN 40 is not allowed.","show interfaces trunk: allowed VLANs 10,20,30; VLAN 40 absent",VLAN 40 is blocked by the trunk allowed list,Layer 2,VLAN trunking,High,show interfaces trunk,Allow VLAN 40 on the trunk.
NET-010,DHCP Pool Network Mismatch,PC1 → SW1 → R1,PC1 receives an address from the wrong network because the DHCP pool uses 192.168.60.0/24 instead of 192.168.50.0/24.,PC1 ipconfig /all: IPv4 Address: 192.168.60.20; Subnet Mask: 255.255.255.0. Intended client network: 192.168.50.0/24. R1 show run: ip dhcp pool USERS; network 192.168.60.0 255.255.255.0.,DHCP pool is configured for the wrong network,Layer 3,DHCP,High,show ip dhcp pool; show run | section dhcp,Correct the DHCP pool network and renew the lease.
NET-011,DHCP Excluded Range Error,PC1 → SW1 → R1,"The router excludes the entire client subnet, so DHCP has no addresses to allocate.",R1 show running-config | section ip dhcp: ip dhcp pool LAN_POOL; network 192.168.50.0 255.255.255.0; default-router 192.168.50.1. ip dhcp excluded-address 192.168.50.1 192.168.50.254. show ip dhcp pool: Network 192.168.50.0/24; Leased addresses: 0.,DHCP excluded-address range prevents allocation,Layer 3,DHCP,High,show run | section dhcp; show ip dhcp pool,Correct the exclusion range and renew the lease.
NET-012,DNS Server Misconfigured,PC1 → DNS Server,PC can reach IP addresses but cannot resolve names because its configured DNS server is wrong.,PC1 DNS: 192.168.99.10; actual DNS: 192.168.50.10,Client uses the wrong DNS server address,Layer 7,DNS,Medium,ipconfig /all; nslookup,Configure the correct DNS server.
NET-013,ACL Blocking HTTP,PC1 → R1 → Server1,PC1 can ping Server1 but HTTP access fails because the ACL denies TCP port 80.,show access-lists: deny tcp 192.168.10.0 0.0.0.255 host 192.168.20.10 eq 80,ACL blocks HTTP traffic,Layer 4,ACL,High,show access-lists,Modify the ACL according to policy.
NET-014,ACL Applied to Wrong Interface,R1 G0/0 connects to the internal LAN; R1 G0/1 connects to the guest/WAN side.,A guest ACL is applied inbound to the internal interface and blocks internal traffic.,"R1 show ip interface brief: G0/0 192.168.10.1 up/up; G0/1 203.0.113.2 up/up. R1 show running-config: interface G0/0; ip access-group GUEST-FILTER in. interface G0/1; no ip access-group. The GUEST-FILTER ACL is intended for guest traffic, not the internal LAN.",ACL is applied to the wrong interface,Layer 3/4,ACL,High,show run interface; show access-lists,Apply the ACL to the correct interface.
NET-015,NAT Inside Missing,R1 G0/0 connects to the inside LAN 192.168.10.0/24; R1 G0/1 connects to the outside/WAN.,NAT roles are incomplete because the inside interface is not marked as NAT inside.,R1 show ip interface brief: G0/0 192.168.10.1 up/up; G0/1 203.0.113.2 up/up. R1 show running-config: interface G0/0 has no ip nat inside; interface G0/1 has ip nat outside. Internal host 192.168.10.20 cannot reach the WAN.,NAT inside designation is missing,Layer 3,NAT,High,show run interface; show ip nat translations,Configure the correct NAT inside role.
NET-016,NAT Overload Missing,Inside PCs → R1 → Outside,Private clients need Internet access but no PAT/NAT overload rule exists.,R1 show ip interface brief: G0/0 192.168.10.1 up/up; G0/1 203.0.113.2 up/up. show running-config: interface G0/0 has ip nat inside; interface G0/1 has ip nat outside. ip access-list standard NAT_INSIDE permits 192.168.10.0 0.0.0.255. show ip route: 0.0.0.0/0 points to 203.0.113.1. show ip nat translations: <empty> (no active translations). show running-config | include ^ip nat inside source: no matching configuration lines returned; no PAT/overload rule is configured.,NAT overload rule is missing,Layer 3,NAT,High,show ip nat translations; show run | include ip nat,Configure the required PAT rule.
NET-017,Static Route Next Hop Wrong,PC1 → R1 → R2 → Server1,"R1 has a route to 10.20.20.0/24, but its next hop is unreachable.",show ip route 10.20.20.0: via 10.10.10.9; R2 link uses 10.10.10.2/30,Static route uses an incorrect next hop,Layer 3,routing,Critical,show ip route; show ip interface brief,Correct the next-hop address.
NET-018,OSPF Network Not Advertised,PC1 → R1 → R2 → Server1,"OSPF neighbors are established, but the server LAN behind R2 is not advertised.",R1 show ip ospf neighbor: neighbor 10.0.0.2 is FULL. R1 show ip ospf database: the server LAN 192.168.40.0/24 is absent from the OSPF database. R1 show running-config | section router ospf: router ospf 1; network 10.0.0.0 0.0.0.255 area 0. The server LAN interface is not included by any OSPF network statement.,Server LAN is not advertised in OSPF,Layer 3,OSPF routing,High,show ip ospf database; show run | section router ospf,Advertise the server LAN in OSPF.
NET-019,Default Route Missing,LAN → R1 → ISP,R1 has internal routes but no default route for unknown destinations.,show ip route: no Gateway of last resort,Default route is missing,Layer 3,default routing,High,show ip route,Configure the appropriate default route.
NET-020,Interface IP Incorrect,PC1 → R1,PC1 is 192.168.10.20/24 while R1 G0/0 is 192.168.11.1/24.,show ip interface brief: G0/0 192.168.11.1; PC1 192.168.10.20/24,Router interface has an incorrect IP address,Layer 3,IP addressing,High,show ip interface brief; ipconfig /all,Correct the interface IP address.
NET-021,Switch Port Shutdown,PC1 → SW1,PC1 is physically connected but Fa0/3 is administratively disabled.,show interfaces status: Fa0/3 disabled,Switch access interface is shut down,Layer 1,interface status,High,show interfaces status,Enable Fa0/3.
NET-022,Native VLAN Mismatch,SW1 ↔ SW2,The trunk is up but native VLANs differ between endpoints.,show interfaces trunk: SW1 native VLAN 99; SW2 native VLAN 1,Native VLAN mismatch exists,Layer 2,VLAN trunking,Medium,show interfaces trunk,Configure matching native VLANs.
NET-023,Wireless Guest Isolation Missing,Guest Wi-Fi → AP → SW1 → R1 → Internal Server; VLAN 50 is the guest network and the network policy requires guest-to-internal isolation.,Guest clients can reach an internal server; guest VLAN exists but isolation policy is absent.,show vlan brief: VLAN 50 active. show run: guest VLAN 50 has no ACL/firewall isolation rule permitting only guest Internet access; R1 has no guest-to-internal deny policy. Test: guest client can reach internal server 192.168.10.10.,Guest-to-internal isolation policy is missing,Layer 3/4,wireless,High,show access-lists; show run,Apply the intended guest isolation policy.
NET-024,Wireless Client Wrong SSID,Laptop → AP; AP broadcasts CORP-SSID for VLAN 10 and GUEST-SSID for VLAN 50.,Laptop connects but receives an internal VLAN address instead of the guest subnet.,Wireless client status: SSID = CORP-SSID. AP config: CORP-SSID → VLAN 10; GUEST-SSID → VLAN 50. Laptop IP: 192.168.10.25/24. Intended guest subnet: 192.168.50.0/24.,Client is connected to the wrong SSID/network,Layer 2,wireless,Medium,Check wireless status; DHCP lease,Connect to the intended SSID and renew DHCP.
NET-025,DHCP Relay Missing,PC → R1 → DHCP Server,PC and DHCP server are on different subnets; no DHCP relay is configured.,show run interface G0/0: no ip helper-address,DHCP relay/helper configuration is missing,Layer 3,DHCP,High,show run interface; show ip interface,Configure the correct DHCP relay.
NET-026,DNS Service Down,PC1 → SW1 → DNS Server; PC1 is configured to use 192.168.50.10 as its DNS server.,"PC uses the correct DNS server and can ping it, but DNS queries fail because the DNS service is disabled.",PC1 ipconfig /all: DNS Server = 192.168.50.10. ping 192.168.50.10 succeeds. nslookup example.local: DNS request timed out. DNS Server service status: Disabled/Stopped.,DNS service is unavailable,Layer 7,DNS,Medium,Check server service status; nslookup,Enable/configure DNS service.
NET-027,Port Security Violation,Replacement PC1 → SW1 Fa0/5; Fa0/5 uses port security with a configured secure MAC address.,A replacement PC causes the switch port to enter err-disabled state due to an unexpected MAC.,show interfaces status: Fa0/5 err-disabled. show port-security interface Fa0/5: Port Security: Enabled; Violation Mode: shutdown; Secure-shutdown VLAN: -; Security Violation Count: 1; Last Source Address: 00AA.BBCC.DDEE.,Port security violation caused err-disabled state,Layer 2,port-security,High,show port-security interface; show interfaces status,Resolve the MAC/policy issue and recover the port.
NET-028,STP Blocking Path,"PC1 → SW1 → SW2 → Server1; SW1 and SW2 have a redundant Layer 2 link, and STP is intentionally used to prevent a loop.",A redundant Layer 2 path is blocked by STP to prevent a loop.,show spanning-tree vlan 10: Fa0/24 is Alternate/Blocking; another path is Forwarding; root bridge and port roles are consistent with the intended redundant topology. Connectivity through the forwarding path succeeds.,STP is blocking the redundant path as designed,Layer 2,STP,Medium,show spanning-tree vlan 10,Verify the topology; change STP parameters only if required.
NET-029,DHCP Helper Wrong,PC1 → R1 G0/0 → R1 → DHCP Server; the actual DHCP server is 192.168.50.10.,DHCP relay points to 192.168.60.10 while the actual DHCP server is 192.168.50.10.,DHCP Server: 192.168.50.10. show run interface G0/0: ip helper-address 192.168.60.10. The configured helper address does not match the DHCP server address.,DHCP relay points to the wrong server,Layer 3,DHCP,High,show run interface,Correct the helper address.
NET-030,ACL Implicit Deny ICMP,"PC1 → R1 → Server1; ACL permits HTTP and DNS, while ICMP is not explicitly permitted.","ACL permits HTTP and DNS but not ICMP, so ping fails while application traffic works.","show access-lists: permit tcp any host 192.168.20.10 eq 80; permit udp any host 192.168.20.10 eq 53; no ICMP permit. Test: HTTP succeeds and DNS succeeds; ping to 192.168.20.10 fails. With no later ICMP permit, the packet reaches the ACL's implicit deny.",ICMP is blocked by the ACL implicit deny,Layer 3/4,ACL,Medium,show access-lists,"If ping is required by policy, add an appropriate ICMP permit."
